mirna	specific process
hsa-mir-106b	cell division
hsa-let-7a	cell division
hsa-let-7b	cell division
hsa-let-7c	cell division
hsa-let-7d	cell division
hsa-let-7e	cell division
hsa-let-7f	cell division
hsa-let-7g	cell division
hsa-let-7h	cell division
hsa-let-7i	cell division
hsa-mir-27a	cell division
hsa-mir-302a	cell fate determination
hsa-mir-302b	cell fate determination
hsa-mir-302c	cell fate determination
hsa-mir-302d	cell fate determination
hsa-mir-302e	cell fate determination
hsa-mir-302f	cell fate determination
hsa-let-7a	cell fate determination
hsa-let-7b	cell fate determination
hsa-let-7c	cell fate determination
hsa-let-7d	cell fate determination
hsa-let-7e	cell fate determination
hsa-let-7f	cell fate determination
hsa-let-7g	cell fate determination
hsa-let-7h	cell fate determination
hsa-let-7i	cell fate determination
hsa-mir-150	cell fate determination
hsa-mir-155	cell fate determination
hsa-mir-183	cell fate determination
hsa-mir-96	cell fate determination
hsa-mir-182	cell fate determination
hsa-mir-495	cell fate determination
hsa-mir-218	cell fate determination
hsa-mir-34	cell fate determination
hsa-mir-9	cell fate determination
