mirna	specific process
mmu-mir-145	smooth muscle cell fate
mmu-mir-122	carbohydrate metabolism
mmu-mir-451	carbohydrate metabolism
mmu-mir-27	carbohydrate metabolism
mmu-mir-200a	carbohydrate metabolism
mmu-mir-200b	carbohydrate metabolism
mmu-mir-429	carbohydrate metabolism
mmu-mir-21	carbohydrate metabolism
mmu-mir-16	cell death
mmu-mir-184	cell death
mmu-mir-205	cell death
mmu-mir-125b	cell death
mmu-mir-129	cell death
mmu-mir-1	cell death
mmu-mir-206	cell death
mmu-mir-513	cell death
mmu-mir-7	cell death
mmu-mir-143	cell death
mmu-mir-145	cell death
mmu-mir-155	cell death
mmu-mir-1226	cell death
mmu-mir-130b	cell death
mmu-mir-146a	cell death
mmu-mir-14	cell death
mmu-mir-212	cell death
mmu-mir-380	cell death
mmu-mir-497	cell death
mmu-mir-494	cell death
mmu-mir-21	cell death
mmu-mir-181b	cell death
mmu-mir-34a	cell death
mmu-mir-182	cell death
mmu-mir-183	cell death
mmu-mir-128	cell death
mmu-mir-630	cell death
mmu-mir-221	cell death
mmu-mir-222	cell death
mmu-mir-210	cell death
mmu-mir-203	cell death
mmu-mir-10b	cell death
mmu-mir-23b	cell death
mmu-mir-885	cell death
mmu-mir-181a	cell death
mmu-mir-886	cell death
mmu-let-7a	cell death
mmu-let-7b	cell death
mmu-let-7c	cell death
mmu-let-7d	cell death
mmu-let-7e	cell death
mmu-let-7f	cell death
mmu-let-7g	cell death
mmu-let-7h	cell death
mmu-let-7i	cell death
mmu-mir-98	cell death
mmu-mir-376c	cell death
mmu-mir-17	cell death
mmu-mir-18a	cell death
mmu-mir-19a	cell death
mmu-mir-19b	cell death
mmu-mir-20a	cell death
mmu-mir-92a	cell death
mmu-mir-25	cell death
mmu-mir-30d	cell death
mmu-mir-15a	cell division
mmu-mir-107	cell division
mmu-mir-124	cell division
mmu-mir-519	cell division
mmu-mir-16	cell division
mmu-mir-34a	cell division
mmu-mir-106b	cell division
mmu-let-7a	cell division
mmu-let-7b	cell division
mmu-let-7c	cell division
mmu-let-7d	cell division
mmu-let-7e	cell division
mmu-let-7f	cell division
mmu-let-7g	cell division
mmu-let-7h	cell division
mmu-let-7i	cell division
mmu-mir-27a	cell division
mmu-mir-302a	cell fate determination
mmu-mir-302b	cell fate determination
mmu-mir-302c	cell fate determination
mmu-mir-302d	cell fate determination
mmu-mir-302e	cell fate determination
mmu-mir-302f	cell fate determination
mmu-let-7a	cell fate determination
mmu-let-7b	cell fate determination
mmu-let-7c	cell fate determination
mmu-let-7d	cell fate determination
mmu-let-7e	cell fate determination
mmu-let-7f	cell fate determination
mmu-let-7g	cell fate determination
mmu-let-7h	cell fate determination
mmu-let-7i	cell fate determination
mmu-mir-150	cell fate determination
mmu-mir-155	cell fate determination
mmu-mir-183	cell fate determination
